feature,rf_importance,f_score,mutual_info,rf_importance_norm,f_score_norm,mutual_info_norm,combined_score
stat_skewness,0.07525748951602892,558.1989808382785,0.045877327992200234,0.9999998671228774,0.9325034759982199,0.9999997820274575,0.977501041716185
stat_kurtosis,0.07000560754628754,598.5808030236028,0.04334001793462616,0.9302143706140171,0.9999999999832854,0.9446933896207,0.9583025867393342
motion_displacement,0.06176690447527708,184.78307292875212,0.03381312523363178,0.8207408546987598,0.30835443019859266,0.7370332873145444,0.6220428574039656
geo_aspect_ratio,0.031847468989535666,237.279470562915,0.03808553285132299,0.4231800045755247,0.3960999595058744,0.8301600423677163,0.5498133354830385
pose_orientation,0.0306402997044148,320.04484379335906,0.026687716007910867,0.40713948644930453,0.5344388134026604,0.5817189308683982,0.5077657435734544
temporal_trend,0.02494627706616394,288.8875317855286,0.02537692581657791,0.33147895195283084,0.4823606717181333,0.553147303814627,0.45566230916186373
geo_width,0.024882688304205466,103.09662009910296,0.02912473130535176,0.33063400278009186,0.17181894655033145,0.6348391728897469,0.37909737407339006
freq_mid_x,0.023752576981708934,132.4430048867988,0.02275344822173664,0.3156174086896141,0.22087019925525606,0.4959626956909538,0.3441501012119413
pose_limb_left_foot_y,0.017797760629277532,87.3584269093754,0.02924292858170019,0.2364915223563444,0.14551321598579794,0.6374155489726078,0.33980676243825
geo_center_y,0.02366925866644432,38.80337340812234,0.028002715339176865,0.3145102988892563,0.06435547827393921,0.6103823056154153,0.3297493609262036
pose_limb_right_foot_y,0.016160468592531462,91.78486313158676,0.025786853416286837,0.21473565686419704,0.1529118186855402,0.5620825999248463,0.30991002515819455
freq_mid_y,0.018743858196033948,131.24918437356496,0.020627193588632853,0.24906299460616196,0.21887477828253346,0.44961618287747546,0.30585131858872366
motion_velocity_mean,0.022177787522387308,65.51227138251072,0.02298792542789352,0.2946920594626415,0.10899828226801302,0.5010736549666804,0.30158799889911164
geo_height,0.014689621042493793,142.69884512890334,0.020588556705182226,0.1951914578209589,0.23801240655118594,0.4487740049059202,0.29399262309268837
geo_head_torso_ratio,0.008561143761815026,44.70808839141876,0.031203461265155275,0.11375801503997097,0.0742249619903002,0.6801497783166992,0.2893775851156568
motion_velocity_std,0.0127544551106132,83.76969103189143,0.024169039793786595,0.16947752971644586,0.13951479431678537,0.5268187050847557,0.2786036763726623
pose_angle_right_knee,0.012197595930904293,7.82144040499812,0.030242037170499003,0.1620781451595579,0.012570475248269685,0.65919337289449,0.2779473311007725
geo_center_x,0.01661661492524102,26.99658727794956,0.025910613536532123,0.220796798087902,0.044620929903029766,0.5647802307304158,0.27673265290711585
freq_low_x,0.019263414665098583,5.146745500134013,0.024780782842117377,0.2559667114769833,0.008099834771216062,0.5401530238378357,0.26807319002867835
freq_spectral_centroid_y,0.015686952552158864,45.902163004139844,0.023432714220939843,0.208443711962789,0.07622080767967022,0.5107688293711313,0.2651444496711968
freq_spectral_centroid_x,0.01718817942191064,45.27723767357123,0.021890136971474572,0.2283915826654561,0.07517627117089105,0.477144880882064,0.2602375782394704
freq_high_x,0.01608609255071717,16.59802393615753,0.02234117464937979,0.21374736942051908,0.027240166925360975,0.4869762638184912,0.24265460005479042
motion_acceleration_std,0.012066207279428334,75.80487790254162,0.01876615871290732,0.1603322905627283,0.12620194285717246,0.40905073254463503,0.23186165532151193
pose_angle_left_knee,0.01057847905005817,4.057124653083468,0.025037763271733793,0.14056378590953694,0.006278579175070558,0.5457544915964947,0.23086561889370072
stat_std,0.023289471887178653,22.771539982048026,0.015711038400655353,0.30946380144105484,0.03755894035641902,0.34245749836937883,0.22982674672228423
motion_acceleration_mean,0.013944967057685801,69.88241923186992,0.017619297358835828,0.18529670992743646,0.11630280131073602,0.3840523040336679,0.22855060509061345
stat_mean,0.019324568892230894,20.23470010465485,0.01744872997519198,0.25677931125143216,0.03331871878234237,0.38033440340759306,0.2234774778137892
pose_limb_left_foot_x,0.018029438492827482,11.128592609880934,0.016479331282897913,0.2395699911473598,0.018098241605486204,0.3592041736532233,0.20562413546868977
freq_low_y,0.013661199559967705,5.180785769862604,0.01946836812530872,0.18152608906515738,0.008156731655949236,0.42435696963539177,0.2046799301188328
pose_limb_right_foot_dist,0.010819232461151029,9.889173107977188,0.020495561616159508,0.14376284796502792,0.016026603833572906,0.44674696730756325,0.20217880636872135
geo_area,0.019281739461000313,2.0737363349653255,0.015612414895862736,0.25621020609239803,0.002963428695451731,0.3403077767615256,0.19982713718312514
freq_high_y,0.014968156213885078,17.280180841234962,0.016252586518564316,0.19889255303648568,0.028380363613213017,0.35426176037780294,0.19384489234250055
motion_direction_change,0.029670072357862783,23.706154279178413,0.005565769131859577,0.3942473846283376,0.039121108998377244,0.1213184847997465,0.1848956594754871
pose_limb_right_foot_x,0.016589489044141526,4.927358449136336,0.014691006758829506,0.2204363571846839,0.00773313850670081,0.32022360934122146,0.1827977016775354
stat_conf_mean,0.020366708597331234,1.139139596603262,0.010937727139159525,0.2706269638017056,0.0014012894022391398,0.23841241924322387,0.17014689081572287
stat_conf_std,0.018865004432130367,44.18649861721107,0.0073068223861849635,0.25067275093444147,0.07335314653473195,0.15926866522698466,0.16109818756538605
pose_angle_torso_tilt,0.015550929680614466,0.31063826579309795,0.011872633142144151,0.20663627918307742,1.648413787912908e-05,0.2587908030793473,0.15514785546676796
stat_entropy,0.01583079352351356,1.491217933007499,0.011112613955254869,0.21035502940330614,0.0019897735912059017,0.24222447163660982,0.15152309154370727
pose_limb_left_foot_dist,0.009480512031364833,4.511955363003318,0.012067956453703177,0.12597431607923143,0.0070388096515547624,0.2630483149600984,0.13202048023029486
pose_limb_right_hand_dist,0.013985729515147143,7.089384479239742,0.009117954369796122,0.18583834973374785,0.011346874437870472,0.19874636953317337,0.13197719790159723
pose_limb_left_hand_y,0.014185947767925597,0.3007761353393779,0.00941707577851747,0.18849879226859198,0.0,0.20526639492724053,0.13125506239861084
pose_limb_right_hand_y,0.013243061871212509,3.355763075389168,0.009558889396915848,0.17596999576622793,0.005106282681519778,0.2083575424219467,0.12981127362323147
pose_limb_right_hand_x,0.009767253146023506,5.025097756226331,0.010504856677490126,0.1297844495078288,0.00789650566371041,0.22897703173789405,0.1222193289698111
pose_angle_left_elbow,0.015713950937411934,9.867140179635404,0.005778237142440412,0.20880245873788372,0.015989776716919837,0.12594970404391795,0.11691397983290717
pose_stability,0.013338409804228773,5.04705266747113,0.00644485383348159,0.17723695166603104,0.007933202378054395,0.14048011753814707,0.10855009052741083
pose_angle_right_elbow,0.012768114444155054,2.8251450787698165,0.006815844206904176,0.1696590310103992,0.004219376930428104,0.14856668902766243,0.10748169898949657
geo_leg_length,0.01152875043509727,8.152827261085466,0.0057142649078858465,0.15319071865577713,0.01312437449475698,0.12455528498312933,0.09695679271122115
pose_limb_left_hand_x,0.009259353096953506,1.4427474075309386,0.0067157303627320974,0.1230356197920365,0.0019087571385460124,0.14638448211345353,0.09044295301467868
pose_limb_left_hand_dist,0.010733506116702174,3.254951921804521,0.005641233524994016,0.14262374096572356,0.004937781061789475,0.12296340136284938,0.09017497446345413
geo_body_symmetry,0.007247128443759417,14.02420072035459,0.006205157402103811,0.09629775757053777,0.022938129250550526,0.13525539348335275,0.084830426768147
geo_arm_span,0.007169593479248562,0.6514831268832755,0.006273134706055616,0.09526749527097332,0.0005861920434852402,0.1367371120600357,0.07753026645816476
temporal_periodicity,0.001556319408790943,41.04257817244464,0.0042143503775695645,0.02067992450984192,0.06809821522595028,0.09186126662985679,0.06021313545521633
temporal_frequency,0.0024933953597218515,2.4706340435204766,0.0016390302569706527,0.03313152012432713,0.003626826587259747,0.03572635921572673,0.024161568642437865
temporal_duration,0.0,,0.0,0.0,,0.0,
